start_time: 1750179877.081938, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750179944.7667637, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750180009.2669146, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750180072.947148, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 256 
start_time: 1750180138.7861576, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 200 
start_time: 1750180456.435164, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750180508.45963, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1750181268.8320398, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 300 
start_time: 1750257802.1741614, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750257868.49817, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 256 
start_time: 1750257893.2477028, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 200 
start_time: 1750257926.2436788, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 156 
start_time: 1750257946.1381145, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 184 
start_time: 1750257979.149944, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 184 
start_time: 1750258000.1379607, duration: 3, hr: 64, rr: 16, waveform: pulse, dc: 0.5, max_amp: 200 
start_time: 1750258414.2394087, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750258449.651938, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 156 
start_time: 1750258544.686898, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 156 
start_time: 1750258575.0957723, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 128 
start_time: 1750258615.6582403, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 356 
start_time: 1750258644.7999718, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1750258670.591825, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1750258703.146149, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 160 
